unified_business_number,company_name,registered_address,paid_in_capital_twd,listing_status,industry_code,stock_code,source_id,source_authority,source_dataset,source_data_date
07510318,華友聯開發股份有限公司,高雄市鳳山區文龍路85號11樓,1941517950,TWSE,14,1436,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
35535607,勤益投資控股股份有限公司,台北市大安區忠孝東路4段320號9樓,2018712840,TWSE,20,1437,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03561011,三地開發地產股份有限公司,高雄市苓雅區中正二路175號16樓之3,1112057590,TWSE,14,1438,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11113403,雋揚國際股份有限公司,臺北市南港區經貿一路170號11樓,920000000,TWSE,14,1439,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
68919301,臺南紡織股份有限公司,臺南市東區裕農路511號,16568158570,TWSE,04,1440,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
51037304,大東紡織股份有限公司,台北市松山區南京東路三段346號3樓,717443870,TWSE,04,1441,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
04615057,名軒開發股份有限公司,新北市新莊區中華路三段218號8樓,3662113580,TWSE,14,1442,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
04287483,立益物流開發股份有限公司,台北市大同區西寧北路70號6樓,1353430110,TWSE,20,1443,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07663290,力麗企業股份有限公司,104台北市松江路162號11樓,9955950590,TWSE,04,1444,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07015014,大宇紡織股份有限公司,台北市西寧北路62-5號7樓,1306660340,TWSE,04,1445,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
73641170,宏和精密紡織股份有限公司,台南市永康區中山南路473號,1377095130,TWSE,04,1446,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
33955322,力鵬企業股份有限公司,104台北市松江路162號6樓,9100712420,TWSE,04,1447,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
72055019,佳和實業股份有限公司,台南市新市區三舍里復興路533號,1271145720,TWSE,04,1449,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22266307,年興紡織股份有限公司,台北市內湖區內湖路一段306號13樓,1980000000,TWSE,04,1451,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
43121481,宏益纖維工業股份有限公司,台北市塔城街66號6樓,1326414000,TWSE,04,1452,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07617901,大將開發股份有限公司,台北市大安區敦化南路二段71號6樓,1132430480,TWSE,14,1453,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
04301794,台灣富綢纖維股份有限公司,台北市西寧北路70-1號8樓,1298338480,TWSE,04,1454,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
43295237,集盛實業股份有限公司,台北市西寧北路七十號二樓,5316883800,TWSE,04,1455,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
33144175,怡華實業股份有限公司,台北市內湖區內湖路一段392號12樓之1,937200000,TWSE,14,1456,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07669338,宜進實業股份有限公司,台北市內湖區瑞光路607號7樓,3167300220,TWSE,04,1457,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
